sample_name	cancer_group
ACCx_025FE5F8_885E_433D_9018_7AE322A92285	ACCx
ACCx_2A5AE757_20D5_49B6_95FF_CAE08E8197A0	ACCx
ACCx_3D0CD3BD_3960_46FB_92C3_777F11CCD0FC	ACCx
ACCx_4D0D43F5_D8F0_4735_92D5_F40E321C7A05	ACCx
ACCx_81A262BD_3078_4BDB_8EB1_30DD6D7948C3	ACCx
ACCx_B6E6F014_A599_4A58_A7A5_1F748471D662	ACCx
ACCx_B901534B_5E93_475A_91E7_B2DB7DFE98A5	ACCx
ACCx_EDEB779F_A603_479D_AAFE_428BC7E4B8DB	ACCx
ACCx_FCE328BC_082C_4FC1_9F7E_500D07C78B9E	ACCx
BLCA_1067A79F_15D6_4D64_BBC3_268BE15434A1	BLCA
BLCA_3E71B261_9C29_4025_973A_3901B0826643	BLCA
BLCA_6728BCB4_B161_41DD_BF27_16000A1A9A94	BLCA
BLCA_6E1FF9EA_8875_439E_AF5A_A7B7DDFB247C	BLCA
BLCA_6F874813_E05A_438A_A1CE_71B8A78C173E	BLCA
BLCA_761A45CF_D6D2_46EA_93EC_5238A95517B8	BLCA
BLCA_795D3511_E7DB_456E_9D80_4EE5B50B66E1	BLCA
BLCA_C1820F13_D6CF_4BCF_A842_A01D6E6C61EB	BLCA
BLCA_CC57A8ED_A5DB_4ADA_A038_ABE5AA7A6A2B	BLCA
BLCA_CC5A9968_1F7F_4698_B483_1D426BF00AE3	BLCA
BRCA_000CFD9F_ADDF_4304_9E60_6041549E189C	LumB
BRCA_01112370_4F6F_4A20_9BE0_7975C3465268	Basal
BRCA_0142AAAC_FFE8_43B7_AB99_02F7A1740567	LumA
BRCA_037238B0_8FB6_4ECC_9970_93E84F9286EF	LumA
BRCA_08499A64_3FD8_4E62_AF08_3C66AF93CAE7	LumA
BRCA_08891EB8_2C41_400C_8A66_BEE040CCA71D	LumB
BRCA_11AAB1D2_D77B_42AA_AA32_786A597B9797	Her2
BRCA_11D015DD_1250_48BC_8B5D_3262C97F164B	Her2
BRCA_1253F1AD_60FD_4536_97A8_E84B756E5E52	LumB
BRCA_14AD76EE_12F9_40B3_8DCD_4A256E02CF8D	LumB
BRCA_1B6783CB_7D24_4D13_908A_19CCAD4CFF34	LumB
BRCA_1BD15E25_9CE5_49AB_ADCF_41F857F3468D	Basal
BRCA_1D939DC3_EF0C_40BF_BC60_8C5D46345265	Her2
BRCA_1FF8A889_24D2_4439_8BB4_C9AB39B7EE23	Her2
BRCA_257C1DDD_D646_4F59_BCEE_1403A58BBD80	Basal
BRCA_294C77E4_79D8_4383_8780_324F3DBB1839	LumA
BRCA_2A65DC63_F8CC_4EF4_AB23_3F5FD880FB5E	Basal
BRCA_2C46607F_72A2_4B40_A311_E1F29C59DCFA	LumB
BRCA_2D277FFC_F83F_4882_98D7_525388B79C3B	LumB
BRCA_3403FB04_ED81_489B_991C_715B423B87DB	Her2
BRCA_359C8EB0_48BC_47D5_AD78_38B0AE6C5FB8	LumA
BRCA_36EA9779_3126_45DE_8C5D_3E6B3680086C	Basal
BRCA_3899957C_47D6_4274_AB3C_C9E6DE56437F	Her2
BRCA_474D1E91_69F9_4779_B8CE_18F4946A0D9A	LumB
BRCA_4DE199D4_0892_462C_BE6E_09413F7EF76E	LumB
BRCA_4F06A0BF_EB31_45EE_BB09_5601502D86FE	LumB
BRCA_503860D0_4069_4F6F_91F2_FFB24C3EA1E5	Her2
BRCA_5C54B79C_DA02_4B22_9FC2_3D61BFFC5559	LumA
BRCA_5C60C974_536D_4BD9_ADC5_606CA5E60C04	LumA
BRCA_6108FBB3_DFCE_4A67_A16D_0547827F058C	Basal
BRCA_64BD3CE0_7385_461B_9870_AD6611DD886A	LumB
BRCA_6D0DAA1B_2ACC_49CC_90C5_07FC4260432E	LumB
BRCA_6F22B7DA_85CA_4E9C_93A3_859878775DDB	Her2
BRCA_73316C1E_DDE9_4C39_8AFD_5E8A1090C425	LumB
BRCA_74CCA3AC_8984_4207_AD8C_979E7596A5DC	LumA
BRCA_78F79CE9_210D_47BF_B6AB_AA5327778FBE	LumA
