peak_id	target_group	log2FoldChange_vs_all_rest	padj_vs_all_rest	mean_log2normcount_all_rest	mean_log2normcount_Basal	mean_log2normcount_Her2	mean_log2normcount_LumA	mean_log2normcount_LumB
chr6:132893696-132894197	LumB	3.85481943927737	1.21099040493285e-26	2.81317038082688	2.56691225974316	5.46324464948838	4.84036380590944	5.44769437008363
chr8:112977695-112978196	LumB	3.54194970635149	1.70201926732655e-44	2.59838220955514	2.47426161943451	3.24075330487522	3.98499458847384	4.8782609479259
chr2:131600041-131600542	LumB	3.47741890386059	5.27434251519038e-19	2.33948299366964	1.54737716741711	4.5233372030297	4.97067757995299	6.16013846292702
chr8:115692794-115693295	LumB	3.41950429273382	6.51557544930464e-22	2.48524074904509	3.22317290240246	5.48353576657433	4.73460499477348	5.61004312004303
chr6:17106136-17106637	LumB	3.39993228057811	4.16630659622813e-21	3.08614316013769	2.66436369716844	5.57343056043682	6.58349628734458	6.74643167686849
chr14:105668285-105668786	LumB	3.34082018624243	1.94657957275019e-37	3.27577092211823	3.26391892434635	3.90202845677111	4.53852735985358	5.21708692247592
chr21:40324430-40324931	LumB	3.32070301511234	3.43909112009537e-35	2.19771491781468	1.53120505612688	2.8032102252057	3.33549903323285	4.64286525141122
chr1:191364423-191364924	LumB	3.25647389618205	2.51391815793269e-19	2.83003319491336	3.14868302066183	5.01602628988603	5.55510978110234	6.24360919882617
chr2:154674830-154675331	LumB	3.14270009867089	4.06696207806477e-32	2.61608736070597	2.13350110372438	3.19473899573634	4.24882743746978	4.71188360480283
chr8:99901141-99901642	LumB	3.12937879980424	4.35282800236276e-34	3.14846901753257	3.32787752125028	4.05330757524833	4.9558464522218	5.41617218601013
chr11:69517614-69518115	LumB	3.06308691617766	4.9025635475465e-31	3.07160298719424	3.34783106931018	3.98776969328886	5.2022022855434	5.65606643515261
chr2:131548720-131549221	LumB	3.05289011252033	7.68356995655762e-21	2.38209474830269	2.16162070526754	4.08071695209179	5.17084815987112	5.56823291716825
chr14:52373370-52373871	LumB	3.0463556035065	1.16104991891421e-17	2.32126894123947	2.213192774672	4.78002784653793	4.83939859374156	5.44681936895674
chr8:18325885-18326386	LumB	3.01239476932844	2.83478213983654e-16	2.71359893434714	1.83648556768782	4.7390148574257	5.67452866314885	5.8690941591059
chr4:171444902-171445403	LumB	2.95404757119079	7.41046866358347e-26	2.25974230600732	2.01311640586367	3.68048102588228	3.86352580254707	4.69931926297402
chr6:7520394-7520895	LumB	2.93320899699402	3.11946111607007e-33	3.22976074280117	3.37800699648953	3.66414691649659	5.24504789563269	5.25382226631724
chr8:72174984-72175485	LumB	2.91757400270671	2.51727246803749e-18	3.01220979105754	2.84867778652452	5.05855937234714	4.98668532883307	5.79761275261295
chr11:41228390-41228891	LumB	2.91019294170456	9.45840065588966e-22	2.44010823243953	1.72011867260388	3.4361355103844	5.13710442067881	5.14742328262619
chr8:117402289-117402790	LumB	2.90746471324515	1.06773835706521e-25	3.41095962368562	3.74565951801345	5.75659929634217	5.22955384089338	5.86924287805441
chr21:10098004-10098505	LumB	2.90188946187746	2.20189658608843e-12	1.19060197397891	1.36090141837412	2.10843181226691	2.10958742289704	3.13015578086992
chr12:66650783-66651284	LumB	2.89922264497867	1.78985469966791e-35	3.16774581454395	2.61728610271492	4.87526894879407	4.47386024883834	4.81525673148617
chr8:74574111-74574612	LumB	2.89908982105511	5.42511829193384e-20	3.22191187503563	3.77842141187483	6.04012848223876	5.70002808638668	6.40580643733363
chr10:116135144-116135645	LumB	2.89898169141233	2.70944182583129e-16	2.50500171811645	2.50404984658572	3.8217461555698	5.10770215308444	5.43080621900018
chr8:113351427-113351928	LumB	2.89858673310457	4.1707676849562e-26	2.19219644861341	2.08373600597982	2.73705387311238	3.71242680383037	3.99176205289468
chr21:40382810-40383311	LumB	2.89720441102355	7.84553560599514e-18	3.02835202250951	2.36956459450826	5.68239803554543	4.53477551782737	5.87600324656547
chr20:54126927-54127428	LumB	2.89534576191188	9.52848207588126e-36	3.95323101871153	3.72114606689739	3.85379546171008	4.67925349956914	5.33773764654214
chr8:112577160-112577661	LumB	2.89270706403674	1.05225461085304e-26	2.43340784011034	2.46489218982733	3.02730835811542	3.26275109579295	4.02617777582361
chr1:217805711-217806212	LumB	2.85615721312414	2.53763087000768e-18	2.95133342904358	2.91495408410847	4.36678979461254	5.97845954366096	5.83248056639936
chr1:92004178-92004679	LumB	2.84945950386682	5.39376157333265e-22	2.12761334296799	2.09848712110195	4.03736114334435	4.34117417228544	4.51009874823141
chr10:37137578-37138079	LumB	2.8492680083815	1.16918891278436e-23	3.28675582781276	2.88029359753003	3.62172303763167	4.6294441234255	5.2240383038635
chr7:54062408-54062909	LumB	2.84659294203571	1.66736813617892e-23	2.18015581183325	1.49312447197731	2.50628567987054	3.56738832228172	4.30878698404158
chr1:191153428-191153929	LumB	2.83897189590022	7.752350463001e-21	2.20290582399979	2.24862207285073	3.80253207423402	4.04444577736078	4.86713093819423
chr14:105672673-105673174	LumB	2.8355921933417	2.25346305709092e-27	1.91951181066584	1.86673916609824	3.06612341270479	3.40509678871173	3.91662820240591
chr10:19154445-19154946	LumB	2.83538188517621	5.12063212021102e-29	2.34950682929542	2.19763483087012	2.65934824058125	3.90723408619819	4.01347369593897
