peak_id	target_group	log2FoldChange_vs_all_rest	padj_vs_all_rest	mean_log2normcount_all_rest	mean_log2normcount_Basal	mean_log2normcount_Her2	mean_log2normcount_LumA	mean_log2normcount_LumB
chr21:16022580-16023081	Basal	5.4051202768575	1.83536390855487e-76	2.38826987836237	4.29590992508196	2.76804282569905	2.36341400903112	2.45752435511627
chr8:78052458-78052959	Basal	5.371477108281	3.13340043557373e-55	2.18036676011179	6.06671023742909	1.38672798347666	2.9749555686468	2.64342630588328
chr8:78051910-78052411	Basal	4.80980365343433	4.92202848859376e-58	1.78993591824937	4.60697393908643	1.57711151389471	2.5581572613424	1.89644897952758
chr22:40989257-40989758	Basal	4.45945535069453	3.86987045360896e-79	2.86642381137876	5.84555033345552	3.85036612758852	2.78190743214743	3.3042437347303
chr2:835042-835543	Basal	4.31585671106924	4.69372104836182e-31	2.5045061128844	4.62138954782362	2.45868862057777	2.79717715846925	2.54134884137071
chr7:63826704-63827205	Basal	4.31267890529077	1.14626778143476e-16	0.660096196022318	2.04107846459416	0.765750789003248	0.652653284587237	0.534234436090801
chr10:36823961-36824462	Basal	4.25464015086617	5.5696589850614e-51	2.27730956846824	3.80519344976927	2.10261048603349	2.33392115999417	2.38737228729238
chr4:189822547-189823048	Basal	4.16811377951779	2.28898115323784e-41	2.61173746173938	5.08726452882952	2.16871529147629	2.82606638039813	2.67882725777576
chr20:54156914-54157415	Basal	4.10732820087147	2.73181363770533e-63	3.1857173506978	6.0180501530289	3.31190495490639	3.32288917325655	3.274737479891
chr13:60676706-60677207	Basal	4.10545887553511	1.62217728571393e-41	2.66856898002244	3.79113468056356	2.17634995295438	2.74742978430585	2.47132474183089
chr3:194146622-194147123	Basal	3.98409686268017	5.77611488578649e-70	3.45690376313149	6.11258681437705	3.91630532370971	4.53990531105609	4.21564810838484
chr15:100325605-100326106	Basal	3.96259263271875	2.46140577548314e-54	2.80653965410183	4.30155561750913	3.29284589986789	2.80137515117286	2.88055260314055
chr8:85400827-85401328	Basal	3.92267685822561	5.68312085900837e-44	2.61772229421754	5.20446417484017	2.96454814233378	3.12438268129036	2.66698773008379
chr17:15675903-15676404	Basal	3.89361436893468	5.43812453503802e-36	2.14776881133803	4.84096247627949	1.83286956791336	2.15308677232401	1.80917842933073
chr10:129761906-129762407	Basal	3.87235550955753	5.12250034249203e-53	2.99011041663083	4.64264834661629	2.8955663085034	3.28196920021522	3.14873895181676
chr11:37025121-37025622	Basal	3.85541907039268	2.57860903456884e-40	2.55139641569061	4.37532801525515	2.43071122819635	2.4290510051427	2.44789544991881
chr11:98092388-98092889	Basal	3.84442695304315	2.57210890465089e-33	2.34238569091002	3.69267292435213	2.03073860677651	2.49294234176499	2.39881099037315
chr10:29262533-29263034	Basal	3.81602127315172	2.1047380003164e-56	2.47774451178569	5.12917328746716	2.79842699991846	2.95947529424389	2.79331443628682
chr18:4903593-4904094	Basal	3.80926622836938	2.3790726278344e-37	2.22932243668876	3.84896161357116	1.89726787850868	2.46393160717165	2.21699295651625
chr6:125367964-125368465	Basal	3.801806905519	5.35057132990161e-49	2.29029585019232	4.39135424291417	1.88082709534463	2.55110747324535	2.24147769857873
chr7:6919643-6920144	Basal	3.76155191354981	9.24876559608292e-62	2.5215096937543	4.18918091609501	2.07833422699442	2.22147667809424	2.47049259110899
chr6:21514813-21515314	Basal	3.73860560995258	3.46505641514096e-48	2.72464681181239	4.70831319750512	2.67988780737694	2.83565013724405	2.6585132160873
chr13:64396877-64397378	Basal	3.71745614403295	3.09776856081697e-36	2.71030152845192	4.652878891195	2.33334804776523	2.55872806412649	2.55012042956254
chr6:81994627-81995128	Basal	3.70989969728117	1.31712094950588e-45	2.86030873433738	4.52320646488962	3.01225369092389	2.76406626637595	2.67337420943188
chr7:149890716-149891217	Basal	3.70986679206353	6.57957318507234e-18	1.55770407297829	3.17316592396589	2.55093036827928	2.08118308145432	1.9404661143406
chr2:159240674-159241175	Basal	3.70032139422569	3.59688745503077e-99	3.44878419827241	6.04634139961921	3.3784748023331	3.49193066626388	3.56210785011574
chr11:118862684-118863185	Basal	3.66137239984234	9.18433795650835e-69	2.65402122584077	5.18432284985598	3.33766687739724	3.33764607578279	3.03726231062328
chr6:23719870-23720371	Basal	3.65845202907037	6.05748842796672e-52	2.68101150519562	5.3650657327941	3.25800281273415	2.75450745779661	2.88341462303429
chr2:53373265-53373766	Basal	3.65733718935824	2.224312041942e-20	2.51376659047713	4.67635288695547	3.42769527659879	3.28842673597871	2.80715220400283
chr5:14081757-14082258	Basal	3.64666464833026	1.4412695765139e-42	2.83032863662573	5.24154908244455	2.74148467792336	3.26484903257749	3.08603791663121
chr6:19161343-19161844	Basal	3.62347950284142	4.833439585167e-33	2.33972551164519	4.26643710453497	2.45814269920308	2.72108105530465	2.71623628305488
chr4:73279967-73280468	Basal	3.61809102202123	3.77672478551952e-64	2.54666900167371	5.21930610796163	2.76505856283989	2.86792673988043	2.75241490363657
chr9:125090867-125091368	Basal	3.6172581266642	2.23284483657448e-67	2.52754685702883	4.8422943569196	2.55026912235319	2.61515659318013	2.66069304199086
chr14:97791893-97792394	Basal	3.58747042450866	1.27154987788016e-35	2.45432043826585	4.89338432629974	3.45045573504407	2.75596623973073	2.73479642039711
chr10:123554563-123555064	Basal	3.57361771667988	6.97612445182073e-40	2.67297896329494	4.05742511596482	2.76824450736958	2.76665718983669	2.77552764814809
chr8:107358325-107358826	Basal	3.5700351060458	5.0944922730059e-37	2.78869390403022	5.51602068874372	2.28056860953859	2.96451659630183	2.89146406187885
chr1:175367896-175368397	Basal	3.56876440562585	7.78981538670909e-25	3.03274592393525	5.28853005030642	3.74330926895182	3.31407865332109	3.4057221397777
chr8:51358682-51359183	Basal	3.5680070426483	9.05452980558925e-37	3.24997822053443	4.66527912060384	3.27718114811923	3.44712451360971	3.35751777306889
chr13:95529312-95529813	Basal	3.55584541726168	3.06306388612465e-38	2.7990226599309	5.43498836298063	2.67492478646493	2.81919428335685	2.45874232310394
chr8:132029777-132030278	Basal	3.53120898489316	1.4412695765139e-42	3.02096585974944	4.345989286677	2.98759075766872	3.28185987149017	3.09422319771741
chr1:233858721-233859222	Basal	3.51047249036483	1.61716387313897e-40	2.53427762813621	4.43185795219338	2.50096831844861	2.80592334287036	2.67461093862452
chr1:246034454-246034955	Basal	3.50693347634649	3.60915729425259e-45	3.35984658543594	5.7683580236185	3.83352430337934	3.62652517998634	3.4008404577184
chr8:81809618-81810119	Basal	3.49723508726149	2.21954342410324e-50	2.86261684651394	5.98362397143428	2.83074822231886	3.15068282283729	2.86521183697029
chr8:132505922-132506423	Basal	3.4957617509062	2.83884593755408e-39	3.1031107965631	4.94245811761234	2.87508924714557	3.06218179678694	2.96043126840644
chr18:50487217-50487718	Basal	3.48131994689562	1.09927854074367e-42	2.39092697509406	4.33957459924926	2.02335907458261	2.86672522161861	2.51675469921184
chr7:129059676-129060177	Basal	3.47899848855248	2.6029311252727e-56	2.87225078581163	5.19317114227849	2.82493835090363	2.81668086348964	2.95408758112685
chr6:131148821-131149322	Basal	3.46957281963458	6.18889818959775e-44	2.45462608061771	4.62149429755368	2.05832516738737	2.54417051465154	2.27479164525199
chr1:53639986-53640487	Basal	3.46206881466766	1.84691463169969e-44	2.96911790790167	4.82810101247687	2.95637048165103	3.05085460103899	2.8264617954269
chr1:246033901-246034402	Basal	3.45604486604688	8.30857431963806e-50	2.81114512016573	5.13874595174153	2.9153668360601	3.28367632216973	2.8983894052586
chr9:105428851-105429352	Basal	3.45304158196066	9.52093219798536e-47	3.0532554649095	4.92501501428813	2.17876547000283	2.83893996303492	2.65793502201316
chr11:126579662-126580163	Basal	3.4341161983297	2.12014427248705e-41	2.5868737274173	4.56113190345838	2.46564176906074	2.4812303929555	2.459964428624
chr1:223851025-223851526	Basal	3.43382218940455	1.15558760795892e-24	3.24832441002731	6.4361265478498	5.63603819787058	4.5417503390853	4.07548690701818
chr11:126580354-126580855	Basal	3.41103348242517	9.53543686380515e-47	3.2267948453972	5.2470958304999	2.82811316767149	3.29731615611136	2.89458616759187
chr4:187285749-187286250	Basal	3.39935329496561	1.5348258456427e-34	2.302218853345	3.90732902583377	2.1008481368589	2.607115277989	2.62513132553729
chr19:20577061-20577562	Basal	3.37471608367876	1.61103604337588e-13	2.12028380199281	4.93959574801827	2.69269252794	2.5942615954878	2.51324574278586
chr3:129701134-129701635	Basal	3.36298752403297	9.57693769475879e-40	3.06556468009412	5.45611079338702	3.11982482956286	3.09679425133527	2.95164193301949
chr2:15155956-15156457	Basal	3.35893802383377	1.33416882637098e-28	3.24720210131002	5.3856114625449	2.90133814888255	2.92257385292087	3.07902010671525
chr1:150719759-150720260	Basal	3.34501844110391	1.05109159736803e-50	2.65515544401617	4.89163934760742	3.03872821281474	2.76647054260573	2.85592885102811
chr8:116329716-116330217	Basal	3.33982862429374	4.06946216873699e-40	2.49269856363936	4.74137550581629	2.63329820262899	3.11026751741247	3.21174169179454
chr1:223140477-223140978	Basal	3.33310125272023	1.34912262169668e-36	4.4753542021645	7.60006725701884	4.82730342430415	4.9644137503734	4.92228432133916
