peak_id	target_group	log2FoldChange_vs_all_rest	padj_vs_all_rest	mean_log2normcount_all_rest	mean_log2normcount_Basal	mean_log2normcount_Her2	mean_log2normcount_LumA	mean_log2normcount_LumB
chr7:29097056-29097557	Her2	4.273683882317	3.60500249489809e-24	3.37637611273053	3.44289912515918	6.8539127493131	4.64442842278797	4.93738808754717
chr17:29958909-29959410	Her2	4.03011073025029	3.88077848317241e-18	3.31335654895319	4.86190288807783	6.77392877883689	5.18192736212142	4.83478214834596
chr17:49099330-49099831	Her2	3.84552616497038	1.84609811947069e-22	3.11057621731043	2.74529303342197	6.095833498466	4.42364554084158	4.76469007026618
chr17:49365228-49365729	Her2	3.73287487587865	1.08139075598399e-48	3.85262454587723	4.10436837874663	6.22589103222256	4.55001944197611	4.98872206803665
chr17:39735988-39736489	Her2	3.67510835412979	1.62517126204927e-10	5.39007123779443	5.57373171880588	9.16852855850571	6.11062909173051	7.01807252475532
chr17:39948431-39948932	Her2	3.66617324598122	6.43595405503953e-37	4.39668889920801	4.61050272838196	7.02180744480247	4.70418993716588	4.91278084840432
chr17:39722753-39723254	Her2	3.64996764655709	1.98138733485109e-20	4.2840628268244	4.49632734906754	7.47876999349036	4.56783141286233	5.26072303292076
chr7:23742624-23743125	Her2	3.6376148772591	4.38691082781246e-29	2.94514048145956	2.31989132805741	4.29892550986977	3.30678576983886	3.64480194549064
chr3:149284439-149284940	Her2	3.61006681304338	5.23095233591091e-18	3.76052033581027	4.05304696995772	7.19692716001587	4.61977632449418	5.55625988993503
chr5:15342575-15343076	Her2	3.58872263114999	5.32280560098385e-23	2.69531645807324	2.33354662640403	5.74348509138814	3.02241436747433	3.87087617783794
chr20:52564587-52565088	Her2	3.56547056705877	2.03998764213032e-17	3.03840114496957	2.8555724438608	4.99996815017446	4.22895128547398	4.06075112759345
chr1:163626437-163626938	Her2	3.54357063427102	1.32020583729545e-21	2.63655969640915	2.21344316020104	4.73635577607819	3.45340091844129	3.60045166310713
chr19:8814091-8814592	Her2	3.47007857034744	2.22568083052275e-25	2.61713467881297	2.78986699231342	5.81312091473659	3.29666399028972	3.69029304672668
chr17:39943070-39943571	Her2	3.41822450993552	1.36734106928719e-48	4.19428486258775	4.65423480452294	6.76869970006405	4.57773317518753	4.84705355002443
chr6:129854801-129855302	Her2	3.40817619270251	4.28396825694314e-36	2.87377278422584	2.99636369880444	5.26702767547936	3.35405068358407	3.2145644093267
chr3:20870509-20871010	Her2	3.40557263243787	2.63206029677459e-18	3.19276237610169	2.72225381685329	6.4035342088483	4.5891225380827	4.83075501424077
chr7:29482646-29483147	Her2	3.39530358177292	2.55620949315798e-13	3.15499928025654	2.22276606513553	5.54642006925291	5.04083553386401	5.05533114300305
chr8:119434815-119435316	Her2	3.38345705415814	4.08327877878479e-21	2.9641446436981	2.65606012388659	6.01210435363813	3.87704518840008	4.05091516070062
chr8:114614501-114615002	Her2	3.2971571183099	1.08749718495328e-09	3.31777146709324	3.2685304815476	7.11363992381761	4.94222322733711	5.61534367403003
chr17:39702101-39702602	Her2	3.29382073140432	3.5285181318068e-12	4.70568474022874	5.27832582711377	7.92719714450464	5.14955169375201	5.94326828071847
chr17:49393361-49393862	Her2	3.28609108636866	3.29364590281786e-33	4.0399695265216	4.35036768983926	6.06979135922511	4.68618964353465	4.98642531280211
chr17:39933080-39933581	Her2	3.28566341035523	4.0918507993027e-40	3.5886022312807	3.28147719604215	5.80747312066874	3.76072847014218	4.23309841943973
chr12:89241106-89241607	Her2	3.27521075420238	1.19200069739755e-19	3.03830912250009	2.38596868330948	5.62321995492448	3.85182923369886	4.4892419512731
chr17:28541417-28541918	Her2	3.2697986174386	1.63474744829848e-23	4.15817411744626	4.14645290233826	6.56247570446798	5.57629499108984	5.66758353539517
chr12:108262186-108262687	Her2	3.26900147469434	2.06469994176256e-27	2.5969033668577	2.45246480287295	4.66529237194199	2.42438589550412	2.7787830934012
chr17:39934875-39935376	Her2	3.26398789619921	3.00512130639593e-42	4.03317912659284	3.7351001035944	6.41462920036888	4.30020529797109	4.70724751439314
chr12:31190027-31190528	Her2	3.25256849840567	8.33950972797882e-15	2.06032070141713	1.86300720187575	4.83098729965063	3.22162818574178	3.44875210180254
chr11:120657272-120657773	Her2	3.23847153624686	8.8661293508333e-14	3.52881779737606	3.1223116437172	6.45375036208553	5.3194064113654	5.47137958719277
chr8:130221804-130222305	Her2	3.23389303075073	1.12306996987226e-15	3.69070168288745	4.9867463619988	6.92084297804233	4.4327946582504	4.68396021902062
chr10:61828783-61829284	Her2	3.20585795977562	7.03814776186744e-21	3.43849954301149	3.44267684172833	5.61305450501158	3.7951300540877	4.0835997989213
chr10:118381685-118382186	Her2	3.20555773256106	7.40719728242106e-14	2.2109426639865	1.64244279220125	3.70611672198528	2.50717074877842	2.81917962210073
chr10:120348522-120349023	Her2	3.18184068398415	1.07623411707614e-21	2.80087377137327	2.64960183425625	4.26941824901111	3.0076446197647	3.15194597936716
chr17:39735206-39735707	Her2	3.17612728389869	3.89035665272639e-13	4.01629646821345	4.04449912955248	6.88190003744536	4.21418346587719	4.96066792934092
