peak_id	target_group	log2FoldChange_vs_all_rest	padj_vs_all_rest	mean_log2normcount_all_rest	mean_log2normcount_Basal	mean_log2normcount_Her2	mean_log2normcount_LumA	mean_log2normcount_LumB
chr8:85651077-85651578	LumA	3.06498016342764	3.36247193086556e-18	2.89641744132914	2.66442089672048	4.22711032263204	5.31454163635701	4.51265590144653
chr17:56406988-56407489	LumA	2.9791817090717	2.48434680142593e-16	2.60193132176681	1.97447736994214	3.28334569763244	4.81071023691373	3.93135301012395
chr8:40206274-40206775	LumA	2.97436132455809	4.8204647454522e-17	3.81930312049338	3.30814156893901	4.55582514471779	6.38566031714154	5.40986485687418
chr10:37414014-37414515	LumA	2.93155882806407	9.42123817760847e-11	2.59269134859539	2.27718373338584	4.99407127360324	5.66580467639415	4.83167772089973
chr15:61271077-61271578	LumA	2.92994228951557	7.77384261408277e-14	2.72710600501559	2.43569334008427	5.26587744578536	5.22068948994599	5.22276428143549
chr8:116016811-116017312	LumA	2.92116395224588	3.27203434423683e-22	2.86402625187949	3.14727250821995	3.45767351722421	4.50775745604177	4.42415687696816
chr10:37197044-37197545	LumA	2.8963864859505	1.11230462053479e-07	2.28148875123307	1.85540047141915	5.59755697638685	5.50331989849719	5.4688143434502
chr5:44651321-44651822	LumA	2.89537499348804	2.3400035888794e-22	2.65540241845042	1.9851684793687	3.3292311362779	4.27333671453975	3.91522431350924
chr6:17106136-17106637	LumA	2.83321057734578	1.25222956107094e-08	3.16938642924693	2.66436369716844	5.57343056043682	6.58349628734458	6.74643167686849
chr1:217805711-217806212	LumA	2.81560053999063	2.94163884929171e-11	3.00410230632559	2.91495408410847	4.36678979461254	5.97845954366096	5.83248056639936
chr20:48226590-48227091	LumA	2.7752951048287	4.15077526883812e-13	3.40868072817707	3.58552801555552	6.37026083324156	5.77711612306737	5.73884759222121
chr1:111054508-111055009	LumA	2.76002833117825	5.21415907959938e-12	2.16577253845992	1.95884271637735	3.67588032783156	4.51042744897189	3.98228198004323
chr3:83567770-83568271	LumA	2.7493007171428	4.38163431048867e-12	2.66413926211611	2.20700841119587	3.22936248883697	5.25247991076069	4.74299137038271
chr10:37413399-37413900	LumA	2.73535816522866	3.47849510708426e-10	2.29061308852037	1.89494329735575	4.16908897660955	4.90059509094733	4.33645967677799
chr15:70276166-70276667	LumA	2.73447776371252	1.11945792119269e-30	3.2300482704085	3.02181680899529	4.22474053512102	5.0492763219495	4.63118306778395
chr10:37416344-37416845	LumA	2.71613192751076	6.39337788528938e-12	3.05873305079759	2.58570770835239	5.20125965498536	5.69119621517958	5.06048459534935
chr4:14290290-14290791	LumA	2.71332027298212	6.42921537391879e-17	2.38957987232946	1.56490046641628	2.79051684172898	4.55350121778376	4.31310278187525
chr10:19341990-19342491	LumA	2.6991991832445	2.60924091152053e-11	2.84470216554493	2.37172628848554	4.21584278243778	5.54940960486627	5.25769941165959
chr10:37195646-37196147	LumA	2.69915468343799	3.58617954284973e-10	2.44082458903683	1.69591532836242	4.93973415430519	5.14752432995998	4.77034567928845
chr10:127329011-127329512	LumA	2.69353390622705	6.25444001010679e-14	3.43390861742168	3.30674632049082	3.44967769002223	5.1345821277807	5.47025204637715
chr1:210518791-210519292	LumA	2.66731251673345	4.8185229865513e-15	2.91600381964269	2.77992104557893	3.69734399758343	4.99593350359844	4.69918815066436
chr1:175671655-175672156	LumA	2.6614833866349	1.33396501442853e-15	3.23274791558351	2.89383317261862	4.1786451662703	5.35743846135876	4.73055931154389
chr20:42533776-42534277	LumA	2.66112092276163	8.53097273571687e-14	3.08331770721021	2.51863224686503	4.03245903631148	5.1904313339262	4.9377140791949
chr7:143432015-143432516	LumA	2.65596483133407	1.6367582079919e-16	2.93198659098362	2.55199787792972	4.39391005287233	5.46486321106941	5.10776938325004
chr7:56180859-56181360	LumA	2.65473260505655	7.14320084244533e-13	2.55193859335018	2.33306231594481	4.19949194991568	4.88459094435688	4.52389658367655
chr10:37196516-37197017	LumA	2.65062306994491	4.81772251369694e-10	2.66366942170424	2.11907906760484	5.35577069563721	5.32203518819717	5.10736372637056
chr10:37152590-37153091	LumA	2.64769958213712	9.3859765882455e-12	2.57934377036342	2.23403094528166	4.4827215699551	4.76013794991366	4.36654629091894
chr15:61392952-61393453	LumA	2.64345349712847	2.15442390153298e-13	2.55524554275465	2.93002178368229	4.95172463479933	4.73231970421445	4.3096935654032
chr9:82073601-82074102	LumA	2.62489862515783	4.07399305351438e-10	2.67223118712149	2.06563653992183	4.16967473135546	5.00430330596177	5.09601107118245
chr10:37412592-37413093	LumA	2.61971407518406	9.00549409355213e-11	2.68667876270682	2.26836416892194	4.6182835509798	5.35590323256967	4.7462080918409
chr1:184855574-184856075	LumA	2.60273414692061	7.3166301128064e-13	3.11674235198142	3.05795459742273	4.81924298304106	5.58690342585953	5.49532783673531
chr8:18325885-18326386	LumA	2.60141721174658	1.5822658177013e-07	2.78787836774584	1.83648556768782	4.7390148574257	5.67452866314885	5.8690941591059
chr9:24373585-24374086	LumA	2.59182398197239	7.7625484359962e-10	2.63903419541471	2.1723689267016	3.88921119583792	5.23603579056219	4.06763127691842
chr1:29944777-29945278	LumA	2.58876691647334	2.60643048626484e-14	2.95562803435507	2.66697656618516	4.49427325012053	5.29026660516906	4.84791310313126
chr9:38436305-38436806	LumA	2.57223068075271	3.64792753817165e-12	3.81765410470471	3.51113067651272	6.1529893539334	6.43115990852782	6.03434488149878
chr13:86956416-86956917	LumA	2.56856005356007	2.45231838676925e-10	2.52067180500351	1.90227737478747	3.99267064273043	4.96253828276472	4.89345448306932
chr10:9065656-9066157	LumA	2.54874538773277	2.3049314909539e-10	2.32416092638532	2.13609716525645	4.37583643041346	4.37754274485208	4.59760862156791
chr5:2696077-2696578	LumA	2.54671364172418	5.22972443354367e-11	3.23606907320537	2.70538305281296	6.32043683476305	6.03303362527617	5.65173452377697
chr10:8067512-8068013	LumA	2.51945232416239	3.96322834869186e-10	2.73588425875276	3.40663599343057	4.72226513734095	5.29457611485731	5.37371516452712
chr10:37161065-37161566	LumA	2.51854309231589	1.62291962355179e-09	2.5034459992858	2.09337396812839	4.83265067819798	5.0836594348323	4.64690448300034
chr2:223182350-223182851	LumA	2.51381748729207	7.60580039548154e-19	2.6859848211119	2.7121899566224	3.2251609402059	4.60522245706465	4.03501714236745
chr6:136364040-136364541	LumA	2.50901824683471	1.17348063571999e-12	3.61318748178188	3.56407230745332	5.0139216256055	5.43381325833886	5.80584793781638
chr1:224304718-224305219	LumA	2.50837292077305	5.17632655129957e-07	3.22134305745514	3.11416293397441	6.64202519435906	6.1278949546965	6.43842365898768
chr1:191364423-191364924	LumA	2.50511875263107	9.70490470786727e-07	2.93262130227855	3.14868302066183	5.01602628988603	5.55510978110234	6.24360919882617
chr10:17449993-17450494	LumA	2.50176629845432	9.90741465553521e-14	3.21989011568342	3.34210881266153	5.13582232089653	5.69968456143584	5.46870412078439
chr15:47440736-47441237	LumA	2.50030754841075	3.1621680738478e-12	2.6367888283226	1.79038707820458	3.80782038310965	4.77409635592175	4.52056061508234
chr14:101148399-101148900	LumA	2.49389371843255	8.70586831857456e-14	2.82855444196326	1.8815898162111	5.08046092273666	5.23422930104657	4.74741058763159
chr1:38441019-38441520	LumA	2.49248606872048	2.1224476156693e-13	2.30389161763462	1.68559490848578	3.33882103165071	4.19034907260473	3.74961688062279
chr6:23993039-23993540	LumA	2.48911634560634	9.17413493228396e-13	2.54787015015646	2.18909090055305	3.35677803661221	5.0637787687498	4.61887418374073
chr14:43589233-43589734	LumA	2.48856913861259	1.20019108351794e-09	2.62641403472015	1.88042082625157	3.9059250603711	5.11637764309218	5.08637253523419
chr9:37797721-37798222	LumA	2.48535073651253	5.19945298946029e-11	3.1102227944726	3.58039999401171	4.31882503288661	5.44747433955656	5.73031487485889
chr15:98752345-98752846	LumA	2.48357729916157	5.00983510102667e-15	3.38096216643931	2.92581272456878	3.53333787512619	5.01120098659251	5.22719128895393
chr4:58665483-58665984	LumA	2.48278690696861	2.58790691824227e-09	2.7497090011544	2.17332493400496	4.20685623465642	5.07892125871549	4.14361074528579
chr10:37417096-37417597	LumA	2.48234753851466	7.87606656010309e-10	3.28244366825532	2.88923965264605	5.32237294480572	5.95245010393332	5.39036049370396
chr4:8796115-8796616	LumA	2.47949473603398	1.81945853009476e-11	3.14262512112045	2.52990049205633	5.54455502797501	5.25808676944772	5.13029517804306
chr11:41228390-41228891	LumA	2.47912946189042	3.62792133470708e-09	2.49655334850296	1.72011867260388	3.4361355103844	5.13710442067881	5.14742328262619
chr10:8076922-8077423	LumA	2.47286121381571	1.25922261365218e-13	2.58956807016842	3.20461209773242	3.87232758666374	4.84827051005129	4.53312214709297
chr5:116418119-116418620	LumA	2.47068991023387	1.13533822028173e-18	3.00621786652469	2.38044770077444	3.99627760901982	5.01943060249162	4.61013677903488
chr10:37418160-37418661	LumA	2.46506253016652	4.08434132812369e-10	3.26726323983387	2.80172106906572	5.2425652118169	5.66922793088087	5.2918440410159
chr8:18323056-18323557	LumA	2.45849194206476	1.75146489479067e-11	2.5581052375041	1.70053711685287	3.52401151480138	4.40358344402948	4.52176213778191
chr8:39244784-39245285	LumA	2.44954939586312	5.94607835975596e-09	2.76372510941853	2.30908588933309	4.17243834507262	4.50397220494137	4.74714369135862
chr9:126617014-126617515	LumA	2.44821044879415	7.75360566618731e-12	3.44037899124145	4.05158284225776	5.56756345353119	5.87269189237301	5.98078680801086
chr5:97203199-97203700	LumA	2.44667056079856	1.36927768101169e-11	2.63930641525033	2.27398272037495	4.51092947525492	4.91153362614683	4.73877206537294
chr1:219531253-219531754	LumA	2.44375334670817	9.4428272081482e-12	2.90537063160033	2.87724598781923	4.56756996999361	5.02295653663043	4.915743035343
chr1:232688381-232688882	LumA	2.44126008087202	1.25350876462223e-09	2.9483672580901	2.62507117966737	4.4187612314353	5.25547981496207	5.53896916987497
chr11:40319947-40320448	LumA	2.43954218505293	5.21415907959938e-12	2.41766680789108	2.06992233832928	3.57921907266337	4.6791217096058	4.5571506316064
chr5:29319-29820	LumA	2.43684053319086	2.71347705227406e-11	3.40786717683133	2.94529196658063	4.29097349066153	5.95094717667646	5.6991458886757
chr15:98748601-98749102	LumA	2.43560479193107	4.9115177102988e-15	3.65794153057434	3.44109106194343	3.82507605531124	5.1813906929188	5.60282146913056
chr8:40517708-40518209	LumA	2.43527648572208	5.75211160217983e-20	2.72523512924396	2.17475574160799	3.0460357412157	4.40503449372664	3.96914887109051
chr13:34852519-34853020	LumA	2.43445497772911	6.99099746781799e-14	2.71909526144441	2.42475398382547	3.61400858780701	4.8419555329565	4.17090627726209
chr1:210516639-210517140	LumA	2.4336775397085	2.65983808659727e-13	2.92580280007478	2.5871814755422	3.43332241130134	4.76218008573302	4.22037256130436
chr9:126617668-126618169	LumA	2.43149649928049	1.81222187189274e-11	3.18463743893589	3.66098051119113	5.02878506547794	5.57367024854048	5.81630365663429
chr5:96455131-96455632	LumA	2.43018460953669	4.66592688612259e-14	2.83436308660482	2.27508619472381	2.89054678811805	5.05337948479901	4.65954695144673
chr15:81484346-81484847	LumA	2.42711508364456	9.81790164261143e-12	2.71954265444525	3.47812779378833	4.37131266097887	4.8091118073111	3.90572028988546
chr20:43775841-43776342	LumA	2.42704697099729	1.54355399899017e-15	2.88969827701621	2.96621504844634	3.19930487898494	4.50795360124386	3.90071046410757
chr7:16884372-16884873	LumA	2.42569705255633	1.7648194565899e-10	2.86820787353387	2.4141259582578	4.28259364886148	5.19614408841391	5.31010961763717
chr16:15475321-15475822	LumA	2.42132732190387	2.38362562692627e-12	3.35295323031036	2.99743419761711	5.35806406290202	5.55227360762367	5.57703726514148
chr2:13985055-13985556	LumA	2.41678771185126	5.35249988190824e-16	2.90435623111902	2.66065694244604	3.32758597219622	4.9022796212769	4.39185130730191
chr10:37411726-37412227	LumA	2.41536236238068	8.83087508919601e-09	2.22935492203514	1.8586044120576	4.06975614659465	4.49466043124571	4.13475237113608
chr9:126674270-126674771	LumA	2.41530048294562	2.62136389744997e-12	3.71530097075315	3.48575636234853	5.6041129106689	5.98468434022346	6.1437696275179
chr10:37380609-37381110	LumA	2.41480131253214	1.38134414759131e-11	3.28189961113273	2.95025312894379	5.12784106730366	5.63464054581223	5.23434641274681
chr5:44541295-44541796	LumA	2.41132803263724	2.16605189623323e-15	2.96782793855151	2.35154278851618	3.36971187540464	4.77120820020255	4.73446586315438
chr10:37378484-37378985	LumA	2.40896377367514	1.57508805566435e-10	3.19781034032711	3.10544623792104	5.2280454614709	5.59824041302957	5.25020312910517
chr10:37200232-37200733	LumA	2.40340416959474	4.23033905474988e-11	2.37583140574745	1.91114739537312	4.2265590945142	4.61180826247496	4.19224054053488
chr10:9066616-9067117	LumA	2.40094600937063	9.57962951096757e-14	2.80671216487709	2.5402160590938	4.27822897296734	4.80901953750761	4.72942234764022
chr13:25599907-25600408	LumA	2.39884848923721	8.40059357872584e-12	2.95662447363409	2.67739106477864	4.71201411713121	5.34243548886175	4.95721746855088
chr19:21854201-21854702	LumA	2.39679702056056	2.49792362605581e-08	3.24241928033133	3.45795662085332	5.53074792870136	5.60683509388119	5.76484838954501
chr20:22961265-22961766	LumA	2.39419098987136	3.35127239955315e-15	3.15750207301721	2.68173671923809	3.95259028172506	5.2322900193108	5.09130069404887
chr10:37204923-37205424	LumA	2.39147046839941	3.23925138217108e-10	2.95189584499307	2.51055381812877	4.90843894258166	5.41222523420947	4.9949517839849
chr16:1573099-1573600	LumA	2.39106103195248	1.45574990138667e-07	3.72762924536794	3.72683945011082	6.30939717542087	6.18545439851166	6.54713456895829
chr3:97200581-97201082	LumA	2.38865528977534	6.63551446503268e-09	2.8090304729602	2.90462368747216	5.34284313728281	5.40756603202646	5.48260958861836
chr10:8068042-8068543	LumA	2.38687904810276	3.45630908411982e-09	3.23336184141065	4.09447684735589	5.17360151384028	5.72203063587419	5.89661937652404
chr10:37408943-37409444	LumA	2.38302854990664	8.16721458433196e-11	2.8990270767734	2.48183118925747	4.78824858502388	5.30221406973091	4.71104577298034
chr1:66388176-66388677	LumA	2.38024462072478	1.23765217660024e-10	3.14698961084045	3.63840839633528	5.70243692536269	5.49288753738342	5.20601484102494
chr13:59196219-59196720	LumA	2.37912258132012	7.55082901066373e-13	2.49574411920657	2.10206165953479	4.32480331290841	4.40566798008217	4.08372382176322
chr8:38477886-38478387	LumA	2.37759233687884	8.84149952345514e-22	2.85700961991904	2.5740820807106	3.20069842827801	4.01857831586558	3.39623209795053
chr5:4383411-4383912	LumA	2.37737961655354	1.89388320293951e-16	2.5675964126534	2.81086842972588	2.66616541615189	4.26630645145886	3.47011027252412
chr1:202400050-202400551	LumA	2.37178399350777	4.00215344958091e-10	2.99199727665476	3.66599821776258	4.67357198013998	5.17487273297429	4.64370487965164
